,Municipios,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007 (5),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
40,Cadalso de los Vidrios,0,0,0,0,0,5682,21127,309199,362129,253864,206531,212409,212261,220037,225442,227806,233113,239966,261143,238236,277645,224162,247529,245489,267191,242176,252646,250921,236809,229160,240219,235933,240663,225514,237495,249715,247219
41,Camarma de Esteruelas,0,0,0,0,0,0,0,0,0,214194,107735,141457,125989,131569,129187,200571,229234,284849,341833,359970,413955,380414,385383,370783,432200,353378,372489,441802,425626,408295,419950,414850,442582,455397,493575,522628,491096
42,Campo Real,0,0,0,0,0,0,0,0,159378,184123,178301,181382,185183,193081,211710,231336,258579,269466,312036,315644,389067,359680,374405,363791,412132,358000,374506,417727,365220,364006,384754,408029,406272,402962,412029,431825,422574
43,Canencia,0,0,0,0,0,0,0,0,0,0,60501,13664,0,0,0,0,0,243891,3,-207466,36331,35163,32117,26425,30964,34418,31365,29984,27199,27305,30066,34190,39113,34054,34078,34870,36909
44,Carabaña,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123675,138757,146713,153749,158077,160013,148535,157038,164253,182778,147861,159458,175758,148507,151758,157617,151586,161920,154923,163588,174285,162082
45,Casarrubuelos,0,0,0,0,0,0,0,0,0,0,7693,36754,35393,36174,36423,45759,59796,79485,116612,138585,170466,184331,196700,204534,213805,200980,231051,194130,190790,193356,198841,207660,213271,204830,214477,231378,227805
46,Cenicientos,0,0,0,0,116136,117983,109299,117396,109273,115950,122437,126810,121295,120021,122616,120358,124132,124192,130308,128467,149344,120320,131362,147897,125500,129922,139853,120467,121009,116566,123275,115438,123795,120147,113100,139606,137917
47,Cercedilla,245540,0,157468,0,313692,363182,400368,5694,42793,177103,405647,63737,62615,210036,233752,369017,471322,299225,450787,286007,659455,543422,773015,350251,770588,575663,464499,623592,250569,292572,395833,349048,608245,154710,319931,153053,234383
48,Cervera de Buitrago,1469,956,6200,5867,8963,12814,40538,19616,27558,13274,11357,12348,25492,20366,20767,11200,23453,20783,21716,21805,25988,19135,23549,-14344,14259,13970,17247,14812,13999,17666,15017,16407,16082,15207,14424,14878,16747
49,Chapinería,23330,0,26670,37666,42628,38143,63747,30814,36260,34811,90885,68832,266569,193541,212599,194548,196541,203582,231416,219115,233198,206989,203754,224662,229072,195379,216762,206702,187336,178738,199499,190446,196568,184127,209603,203572,200061
50,Chinchón,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301096,253934,335341,323406,376069,338284,325731,319731,349276,281489,298907,335747,286455,270094,298624,290794,301257,285550,298009,311378,307549
51,Ciempozuelos,0,1477321,1610105,1721125,963504,1808209,1062717,1129290,894482,939343,945055,954532,899400,1029222,1228797,1295122,1497497,1523442,1839581,1761982,1970655,1908440,2009025,2034376,2196991,1937279,1828584,1944438,1760420,1748203,1771945,1867725,1871432,1843589,2012855,1878031,1852917
52,Cobeña,0,0,0,0,0,0,0,0,120508,141511,165318,194084,206091,239858,265847,296040,312607,323720,334082,333604,358959,388825,432044,425833,508316,441553,449826,508491,459634,436520,473889,471000,497336,474130,495864,497091,468542
53,Collado Mediano,527688,0,618693,488913,631121,628428,645275,504704,474426,636081,616236,611252,612489,601141,638144,684555,727125,702206,762512,710556,856163,725709,726779,747820,727249,770206,697311,719473,629980,661079,666456,678284,704788,627010,697957,678832,668024
54,Collado Villalba,1892321,0,2371328,2470360,2848144,3191816,3152891,3127028,3029512,3464292,3587144,3469830,3661926,3772232,3837858,4103533,4263319,4201469,4342524,4252808,4572227,4089063,4189164,4081048,4522249,4514149,3995319,3994548,3900012,3921004,4058519,4023316,4256828,3989402,4214523,4150538,4203925
55,Colmenar Viejo,0,0,2056483,2579392,2821390,3005280,5878509,2652980,2722776,2625772,2735755,2954595,2877588,2799194,2906252,2989585,3135214,3271509,3480695,3388569,3254801,2979068,2975945,3247702,2942084,2879785,3506442,2929421,3010013,3019141,3051074,3102787,3269012,3105652,3350119,3323007,3395446
56,Colmenar de Oreja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87281,292848,307312,308663,335699,288811,280799,275441,308215,255811,257019,303528,268588,258034,265594,266244,278736,265907,266331,285802,283169
57,Colmenar del Arroyo,30224,0,54092,52818,70990,65936,103327,52498,55623,52007,170851,126173,137635,149866,162280,169779,167705,171886,184725,174191,178991,162245,175929,188610,183293,160133,185582,168245,156050,154845,158270,162055,181537,173300,200738,209092,208346
58,Colmenarejo,308745,0,340919,348528,406864,451228,501270,501865,408154,551480,590419,608184,644810,589777,566459,672746,668963,720981,997058,944396,698736,652205,675111,718324,683666,616975,705948,639209,620056,605704,642761,635360,670904,613861,673967,681648,673271
59,Corpa,0,0,0,0,0,0,0,0,0,49197,24667,26015,25302,24444,25608,26604,26742,26888,32433,30617,34578,30804,33297,33994,41595,31521,45018,42043,36567,37320,37567,43279,43512,42540,42798,46332,46869
